Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Large,Outlet_Medium,Outlet_Small
NCF07,9.0,0,0.032,0,99.6016,6,18,2,1,1,1922.8304,0.0,0.0,1.0
FDJ09,15.0,0,0.058,1,44.0744,1,35,0,2,1,633.8416,1.0,0.0,0.0
FDO23,12.86,0,0.146,0,94.3436,5,37,1,2,3,2269.0464,0.0,1.0,0.0
FDH09,12.86,0,0.056,0,52.4982,5,37,1,2,3,1209.7586,0.0,1.0,0.0
FDX34,6.2,0,0.072,1,119.3098,9,23,1,0,1,1205.098,0.0,1.0,0.0
FDV60,20.2,1,0.118,0,197.311,9,23,1,0,1,3338.987,0.0,1.0,0.0
FDE32,20.7,0,0.049,0,38.7506,1,35,0,2,1,227.7036,1.0,0.0,0.0
NCI30,20.25,0,0.059,0,245.046,3,13,1,2,2,4680.574,0.0,1.0,0.0
FDS37,7.66,0,0.032,1,117.7492,1,35,0,2,1,695.0952,1.0,0.0,0.0
FDC57,12.86,1,0.096,0,193.982,4,37,2,0,0,579.246,0.0,0.0,1.0
DRC01,5.92,1,0.019,2,49.0692,2,15,2,1,1,1478.076,0.0,0.0,1.0
DRD27,18.75,0,0.024,0,99.0042,2,15,2,1,1,694.4294,0.0,0.0,1.0
FDI12,9.39,1,0.101,0,88.3856,7,20,2,1,1,703.0848,0.0,0.0,1.0
FDQ33,13.35,0,0.091,1,149.3708,6,18,2,1,1,4514.124,0.0,0.0,1.0
FDQ27,12.86,1,0.077,0,101.399,4,37,2,0,0,206.398,0.0,0.0,1.0
NCB07,19.2,0,0.13,0,196.211,0,24,2,2,0,589.233,0.0,0.0,1.0
FDC08,19.0,1,0.103,0,226.172,1,35,0,2,1,3169.208,1.0,0.0,0.0
FDD20,14.15,0,0.021,0,124.2046,8,25,2,0,1,2490.092,0.0,0.0,1.0
FDS24,20.85,1,0.062,0,88.1514,6,18,2,1,1,1151.1682,0.0,0.0,1.0
FDH34,8.63,0,0.031,1,186.0582,2,15,2,1,1,3900.9222,0.0,0.0,1.0
NCX30,16.7,0,0.027,0,248.4776,3,13,1,2,2,6439.6176,0.0,1.0,0.0
FDM01,7.89,1,0.095,0,104.5332,8,25,2,0,1,1845.5976,0.0,0.0,1.0
FDB20,7.72,0,0.052,0,77.9986,1,35,0,2,1,934.7832,1.0,0.0,0.0
NCK29,5.62,0,0.126,2,121.573,2,15,2,1,1,3202.498,0.0,0.0,1.0
FDS11,7.05,1,0.056,0,224.9088,9,23,1,0,1,2684.5056,0.0,1.0,0.0
NCV41,14.35,0,0.029,2,109.2228,0,24,2,2,0,221.0456,0.0,0.0,1.0
DRL60,8.52,0,0.027,2,151.7682,9,23,1,0,1,2439.4912,0.0,1.0,0.0
FDV10,7.64,1,0.067,1,44.0112,2,15,2,1,1,596.5568,0.0,0.0,1.0
FDV09,12.1,0,0.021,1,149.5734,3,13,1,2,2,2227.101,0.0,1.0,0.0
FDQ39,14.8,0,0.081,0,192.4846,8,25,2,0,1,5159.2842,0.0,0.0,1.0
DRE49,20.75,0,0.021,2,153.6024,3,13,1,2,2,1366.2216,0.0,1.0,0.0
FDR45,10.8,0,0.029,1,238.6222,7,20,2,1,1,6501.8699,0.0,0.0,1.0
DRJ23,18.35,0,0.07,2,190.2872,0,24,2,2,0,378.1744,0.0,0.0,1.0
FDQ26,13.5,1,0.068,0,58.6562,3,13,1,2,2,711.0744,0.0,1.0,0.0
NCA06,20.5,0,0.144,0,34.819,2,15,2,1,1,1061.951,0.0,0.0,1.0
FDT24,12.35,1,0.187,0,78.6328,3,13,1,2,2,1004.0264,0.0,1.0,0.0
DRG27,8.89,0,0.105,0,39.1138,7,20,2,1,1,609.207,0.0,0.0,1.0
FDR02,16.7,0,0.022,0,110.8886,7,20,2,1,1,3558.0352,0.0,0.0,1.0
DRG37,16.2,0,0.019,2,155.8972,6,18,2,1,1,2025.3636,0.0,0.0,1.0
FDJ07,7.26,0,0.014,0,118.115,3,13,1,2,2,1864.24,0.0,1.0,0.0
FDP32,6.65,0,0.088,0,126.7678,9,23,1,0,1,1907.517,0.0,1.0,0.0
FDV59,13.35,0,0.048,0,218.9166,8,25,2,0,1,5660.6316,0.0,0.0,1.0
FDP60,17.35,0,0.056,0,99.8016,6,18,2,1,1,607.2096,0.0,0.0,1.0
FDE32,12.86,0,0.049,0,39.6506,5,37,1,2,3,1024.6662,0.0,1.0,0.0
FDK26,5.46,1,0.032,1,187.424,2,15,2,1,1,3169.208,0.0,0.0,1.0
FDW28,18.25,0,0.089,1,197.3452,6,18,2,1,1,2740.4328,0.0,0.0,1.0
FDP56,8.19,0,0.047,0,47.7692,9,23,1,0,1,640.4996,0.0,1.0,0.0
FDT25,7.5,0,0.051,1,122.2072,8,25,2,0,1,1960.1152,0.0,0.0,1.0
FDQ12,12.65,0,0.035,0,230.601,6,18,2,1,1,2067.309,0.0,0.0,1.0
FDR60,14.3,0,0.13,0,77.2328,6,18,2,1,1,231.6984,0.0,0.0,1.0
FDZ10,17.85,0,0.074,1,128.002,0,24,2,2,0,253.004,0.0,0.0,1.0
FDM13,6.42,0,0.106,0,130.5626,0,24,2,2,0,131.1626,0.0,0.0,1.0
FDF26,6.83,1,0.047,1,153.4998,7,20,2,1,1,2153.1972,0.0,0.0,1.0
FDN02,12.86,0,0.073,1,205.3638,5,37,1,2,3,5383.6588,0.0,1.0,0.0
NCI30,20.25,0,0.059,0,245.546,1,35,0,2,1,1724.422,1.0,0.0,0.0
NCJ31,19.2,0,0.183,2,243.0196,9,23,1,0,1,3615.294,0.0,1.0,0.0
NCQ54,17.7,0,0.021,0,166.8474,0,24,2,2,0,168.4474,0.0,0.0,1.0
FDB02,9.7,1,0.029,1,175.437,7,20,2,1,1,2999.429,0.0,0.0,1.0
FDC02,12.86,0,0.068,1,259.3278,5,37,1,2,3,4165.2448,0.0,1.0,0.0
FDA11,7.75,0,0.043,0,95.6436,7,20,2,1,1,1134.5232,0.0,0.0,1.0
DRI23,12.86,0,0.137,2,159.6578,5,37,1,2,3,2888.2404,0.0,1.0,0.0
FDE04,19.75,1,0.018,1,179.866,9,23,1,0,1,2696.49,0.0,1.0,0.0
FDW38,5.33,1,0.232,0,55.5298,0,24,2,2,0,53.9298,0.0,0.0,1.0
FDG46,12.86,1,0.058,1,115.4518,4,37,2,0,0,113.8518,0.0,0.0,1.0
NCJ05,12.86,0,0.046,2,152.3682,5,37,1,2,3,2287.023,0.0,1.0,0.0
FDU01,12.86,1,0.021,1,185.1924,4,37,2,0,0,555.2772,0.0,0.0,1.0
FDY11,6.71,1,0.03,0,66.6142,2,15,2,1,1,1120.5414,0.0,0.0,1.0
FDX60,14.35,0,0.081,0,79.296,1,35,0,2,1,719.064,1.0,0.0,0.0
NCN29,15.2,0,0.066,2,47.8034,9,23,1,0,1,437.4306,0.0,1.0,0.0
FDT07,5.82,1,0.066,0,256.633,9,23,1,0,1,2050.664,0.0,1.0,0.0
FDI21,5.59,1,0.057,1,61.9168,3,13,1,2,2,1214.4192,0.0,1.0,0.0
FDI41,18.5,1,0.062,1,148.0418,8,25,2,0,1,2059.9852,0.0,0.0,1.0
FDE10,12.86,1,0.09,1,133.1626,5,37,1,2,3,3672.5528,0.0,1.0,0.0
FDQ28,14.0,1,0.06,1,153.5656,8,25,2,0,1,3089.312,0.0,0.0,1.0
FDY32,7.61,0,0.216,0,165.021,0,24,2,2,0,815.605,0.0,0.0,1.0
NCK05,12.86,0,0.136,2,61.1536,4,37,2,0,0,61.2536,0.0,0.0,1.0
FDH12,9.6,0,0.085,0,107.128,7,20,2,1,1,1278.336,0.0,0.0,1.0
FDJ27,17.7,1,0.123,0,103.8674,2,15,2,1,1,1528.011,0.0,0.0,1.0
DRL35,15.7,0,0.066,2,43.377,0,24,2,2,0,129.831,0.0,0.0,1.0
NCY29,13.65,0,0.078,2,55.093,2,15,2,1,1,1301.639,0.0,0.0,1.0
FDC21,14.6,1,0.043,0,110.1254,2,15,2,1,1,1844.9318,0.0,0.0,1.0
FDM33,15.6,0,0.088,1,220.1798,2,15,2,1,1,5068.7354,0.0,0.0,1.0
DRJ39,20.25,0,0.036,0,217.5482,1,35,0,2,1,1095.241,1.0,0.0,0.0
FDB22,8.02,0,0.187,1,151.9998,0,24,2,2,0,307.5996,0.0,0.0,1.0
FDC32,18.35,0,0.099,0,93.8462,1,35,0,2,1,1295.6468,1.0,0.0,0.0
FDD02,16.6,0,0.066,1,118.8124,8,25,2,0,1,2607.2728,0.0,0.0,1.0
FDL28,10.0,1,0.063,1,228.6668,6,18,2,1,1,3455.502,0.0,0.0,1.0
FDL39,16.1,1,0.063,0,179.4318,9,23,1,0,1,2345.6134,0.0,1.0,0.0
FDV37,13.0,1,0.14,1,196.2426,0,24,2,2,0,197.7426,0.0,0.0,1.0
FDA28,16.1,1,0.048,1,126.5362,2,15,2,1,1,1761.7068,0.0,0.0,1.0
FDL04,19.0,0,0.112,1,105.5622,9,23,1,0,1,1905.5196,0.0,1.0,0.0
FDR10,17.6,0,0.01,1,163.5552,6,18,2,1,1,3086.6488,0.0,0.0,1.0
FDA39,6.32,0,0.013,0,39.1822,2,15,2,1,1,1060.6194,0.0,0.0,1.0
FDR15,9.3,1,0.033,0,153.1314,6,18,2,1,1,4653.942,0.0,0.0,1.0
FDQ40,11.1,1,0.036,1,175.0712,2,15,2,1,1,3339.6528,0.0,0.0,1.0
DRG23,12.86,0,0.086,2,151.2682,5,37,1,2,3,2439.4912,0.0,1.0,0.0
FDU36,6.15,0,0.046,0,99.4384,1,35,0,2,1,1379.5376,1.0,0.0,0.0
FDF47,20.85,0,0.098,0,223.9746,8,25,2,0,1,897.4984,0.0,0.0,1.0
FDH14,17.1,1,0.047,1,141.4838,8,25,2,0,1,1404.838,0.0,0.0,1.0
FDO45,13.15,1,0.038,1,86.3856,3,13,1,2,2,615.1992,0.0,1.0,0.0
FDK60,16.5,1,0.094,0,95.7068,6,18,2,1,1,1069.2748,0.0,0.0,1.0
FDS43,11.65,0,0.041,0,185.924,2,15,2,1,1,4101.328,0.0,0.0,1.0
FDN44,13.15,0,0.023,0,160.292,9,23,1,0,1,4793.76,0.0,1.0,0.0
FDS34,19.35,1,0.077,1,113.9518,9,23,1,0,1,1138.518,0.0,1.0,0.0
FDU20,19.35,1,0.022,0,122.2098,7,20,2,1,1,2771.7254,0.0,0.0,1.0
FDP44,16.5,1,0.08,0,101.4332,1,35,0,2,1,1948.1308,1.0,0.0,0.0
FDC02,21.35,0,0.069,1,258.5278,6,18,2,1,1,5206.556,0.0,0.0,1.0
FDT56,16.0,1,0.116,0,57.5246,6,18,2,1,1,173.7738,0.0,0.0,1.0
NCA06,20.5,0,0.143,0,34.919,1,35,0,2,1,73.238,1.0,0.0,0.0
FDE04,19.75,1,0.018,1,180.466,1,35,0,2,1,3415.554,1.0,0.0,0.0
NCX06,17.6,0,0.016,0,179.1976,2,15,2,1,1,3803.0496,0.0,0.0,1.0
FDX49,4.62,1,0.102,1,234.33,2,15,2,1,1,3961.51,0.0,0.0,1.0
DRM59,5.88,0,0.004,2,154.1998,3,13,1,2,2,1384.1982,0.0,1.0,0.0
FDJ34,11.8,1,0.094,1,126.0704,9,23,1,0,1,1251.704,0.0,1.0,0.0
FDP60,17.35,0,0.066,0,101.9016,1,35,0,2,1,1821.6288,1.0,0.0,0.0
FDI07,12.35,1,0.034,0,196.9426,8,25,2,0,1,5141.3076,0.0,0.0,1.0
FDV07,12.86,0,0.031,0,111.0228,5,37,1,2,3,3205.1612,0.0,1.0,0.0
FDH41,9.0,0,0.082,1,214.1534,7,20,2,1,1,1720.4272,0.0,0.0,1.0
NCB31,6.24,0,0.119,0,263.291,9,23,1,0,1,3418.883,0.0,1.0,0.0
FDW34,9.6,0,0.066,1,244.817,6,18,2,1,1,4374.306,0.0,0.0,1.0
FDX45,16.75,0,0.105,1,156.163,2,15,2,1,1,782.315,0.0,0.0,1.0
FDH14,17.1,1,0.047,1,141.3838,9,23,1,0,1,1685.8056,0.0,1.0,0.0
FDF26,6.83,1,0.078,1,154.5998,0,24,2,2,0,153.7998,0.0,0.0,1.0
FDU24,6.78,1,0.141,0,92.212,2,15,2,1,1,4101.328,0.0,0.0,1.0
FDX11,16.0,1,0.107,0,181.9634,3,13,1,2,2,3453.5046,0.0,1.0,0.0
FDF35,15.0,0,0.154,0,105.9938,6,18,2,1,1,1179.1318,0.0,0.0,1.0
NCC43,7.39,0,0.093,0,251.3066,3,13,1,2,2,1004.0264,0.0,1.0,0.0
FDG29,17.6,0,0.056,1,42.5454,8,25,2,0,1,419.454,0.0,0.0,1.0
FDS44,12.65,1,0.156,0,239.6538,8,25,2,0,1,3845.6608,0.0,0.0,1.0
FDZ10,17.85,0,0.044,1,127.102,8,25,2,0,1,2024.032,0.0,0.0,1.0
FDC52,11.15,1,0.008,0,150.4708,1,35,0,2,1,1956.1204,1.0,0.0,0.0
DRL35,15.7,0,0.031,2,42.877,6,18,2,1,1,1168.479,0.0,0.0,1.0
NCP55,14.65,0,0.066,2,56.4614,0,24,2,2,0,55.2614,0.0,0.0,1.0
FDV38,12.86,0,0.101,0,55.0956,5,37,1,2,3,2020.0372,0.0,1.0,0.0
FDL44,18.25,0,0.012,0,160.4894,7,20,2,1,1,3073.9986,0.0,0.0,1.0
FDZ47,20.7,1,0.066,0,98.7042,2,15,2,1,1,1884.8798,0.0,0.0,1.0
FDT45,15.85,0,0.057,1,53.3956,8,25,2,0,1,1364.89,0.0,0.0,1.0
FDN23,6.58,1,0.076,0,145.7444,9,23,1,0,1,3193.1768,0.0,1.0,0.0
NCP43,17.75,0,0.031,2,177.866,7,20,2,1,1,2336.958,0.0,0.0,1.0
DRJ24,12.86,0,0.198,2,185.2924,4,37,2,0,0,370.1848,0.0,0.0,1.0
FDA02,12.86,1,0.03,0,143.5786,5,37,1,2,3,3756.4436,0.0,1.0,0.0
FDH33,12.86,0,0.213,1,44.9428,4,37,2,0,0,175.7712,0.0,0.0,1.0
FDF56,16.7,1,0.12,0,181.2976,2,15,2,1,1,3078.6592,0.0,0.0,1.0
NCN26,10.85,0,0.029,0,115.1808,8,25,2,0,1,2109.2544,0.0,0.0,1.0
FDD22,10.0,0,0.1,1,113.7544,9,23,1,0,1,3243.7776,0.0,1.0,0.0
FDU15,13.65,1,0.045,0,37.9532,0,24,2,2,0,71.9064,0.0,0.0,1.0
FDB41,19.0,1,0.163,1,46.8718,0,24,2,2,0,189.0872,0.0,0.0,1.0
FDZ35,9.6,1,0.022,0,102.499,2,15,2,1,1,2579.975,0.0,0.0,1.0
FDT60,12.0,0,0.076,0,124.1388,2,15,2,1,1,1486.0656,0.0,0.0,1.0
FDE51,5.92,1,0.096,0,43.8086,6,18,2,1,1,312.2602,0.0,0.0,1.0
NCQ06,13.0,0,0.042,0,254.5014,6,18,2,1,1,4845.0266,0.0,0.0,1.0
FDS28,8.18,1,0.083,1,58.5588,2,15,2,1,1,171.7764,0.0,0.0,1.0
FDH32,12.8,0,0.076,0,96.541,7,20,2,1,1,1834.279,0.0,0.0,1.0
FDW37,19.2,0,0.124,1,89.7488,7,20,2,1,1,2082.6224,0.0,0.0,1.0
FDY33,14.5,1,0.097,1,159.4262,8,25,2,0,1,2705.1454,0.0,0.0,1.0
FDF17,5.19,0,0.043,1,196.811,2,15,2,1,1,3731.809,0.0,0.0,1.0
FDG56,13.3,1,0.071,0,61.0536,1,35,0,2,1,1592.5936,1.0,0.0,0.0
NCB18,19.6,0,0.041,0,88.8514,1,35,0,2,1,2125.2336,1.0,0.0,0.0
FDU14,17.75,0,0.035,0,248.275,6,18,2,1,1,998.7,0.0,0.0,1.0
FDU22,12.35,0,0.093,1,119.1124,9,23,1,0,1,3673.8844,0.0,1.0,0.0
NCV41,14.35,0,0.017,2,109.8228,1,35,0,2,1,2099.9332,1.0,0.0,0.0
FDY52,6.37,0,0.007,1,63.2536,7,20,2,1,1,1225.072,0.0,0.0,1.0
DRG48,12.86,0,0.014,2,143.9102,5,37,1,2,3,3062.0142,0.0,1.0,0.0
FDU01,12.86,1,0.012,1,184.7924,5,37,1,2,3,4442.2176,0.0,1.0,0.0
NCP53,14.75,0,0.033,2,238.6906,1,35,0,2,1,4278.4308,1.0,0.0,0.0
FDC17,12.15,0,0.015,1,211.9928,9,23,1,0,1,631.1784,0.0,1.0,0.0
NCZ30,6.59,0,0.026,0,121.5098,1,35,0,2,1,602.549,1.0,0.0,0.0
FDK03,12.6,1,0.074,0,255.6356,8,25,2,0,1,2797.6916,0.0,0.0,1.0
FDE08,12.86,0,0.086,0,149.8734,4,37,2,0,0,445.4202,0.0,0.0,1.0
NCM07,12.86,0,0.04,2,83.9908,5,37,1,2,3,2348.9424,0.0,1.0,0.0
FDY35,12.86,1,0.016,0,47.7402,5,37,1,2,3,1975.4286,0.0,1.0,0.0
FDS28,12.86,1,0.082,1,59.2588,5,37,1,2,3,1374.2112,0.0,1.0,0.0
FDI56,7.33,0,0.093,0,92.7146,1,35,0,2,1,2006.7212,1.0,0.0,0.0
FDR23,12.86,0,0.143,0,175.837,4,37,2,0,0,352.874,0.0,0.0,1.0
FDF29,15.1,1,0.02,1,130.531,9,23,1,0,1,908.817,0.0,1.0,0.0
FDA47,12.86,1,0.116,0,164.121,5,37,1,2,3,6035.477,0.0,1.0,0.0
FDI10,8.51,1,0.078,1,172.9422,1,35,0,2,1,1379.5376,1.0,0.0,0.0
FDC45,12.86,0,0.238,0,170.2106,4,37,2,0,0,171.1106,0.0,0.0,1.0
FDA27,20.35,1,0.031,0,257.2672,2,15,2,1,1,2045.3376,0.0,0.0,1.0
NCR41,17.85,0,0.018,2,96.9094,3,13,1,2,2,1332.9316,0.0,1.0,0.0
FDR09,18.25,0,0.078,1,258.4962,3,13,1,2,2,2848.9582,0.0,1.0,0.0
NCB06,17.6,0,0.082,2,160.492,1,35,0,2,1,1278.336,1.0,0.0,0.0
FDE53,10.89,0,0.027,1,106.428,8,25,2,0,1,1491.392,0.0,0.0,1.0
DRE27,11.85,0,0.222,0,99.6726,0,24,2,2,0,195.7452,0.0,0.0,1.0
NCA06,12.86,0,0.143,0,35.919,5,37,1,2,3,585.904,0.0,1.0,0.0
FDL56,14.1,0,0.126,0,88.6198,3,13,1,2,2,1133.8574,0.0,1.0,0.0
FDT09,15.15,1,0.012,1,131.7284,6,18,2,1,1,1186.4556,0.0,0.0,1.0
DRH03,17.25,0,0.059,0,91.612,0,24,2,2,0,93.212,0.0,0.0,1.0
NCQ53,17.6,0,0.019,2,237.059,3,13,1,2,2,2836.308,0.0,1.0,0.0
NCT18,14.6,0,0.059,0,179.6976,8,25,2,0,1,3621.952,0.0,0.0,1.0
FDL43,10.1,0,0.027,0,76.467,6,18,2,1,1,1761.041,0.0,0.0,1.0
FDJ53,10.5,0,0.071,1,119.2098,6,18,2,1,1,1325.6078,0.0,0.0,1.0
NCQ02,12.6,0,0.007,0,186.9556,6,18,2,1,1,3942.8676,0.0,0.0,1.0
NCJ05,18.7,0,0.046,2,153.6682,8,25,2,0,1,3506.7686,0.0,0.0,1.0
FDT40,5.99,0,0.096,1,127.1678,3,13,1,2,2,3560.6984,0.0,1.0,0.0
FDA48,12.1,0,0.115,0,221.4114,8,25,2,0,1,5099.3622,0.0,0.0,1.0
FDV37,13.0,1,0.084,1,196.0426,9,23,1,0,1,2570.6538,0.0,1.0,0.0
FDX07,19.2,1,0.023,0,181.695,7,20,2,1,1,2563.33,0.0,0.0,1.0
DRG48,5.78,0,0.015,2,146.3102,7,20,2,1,1,2187.153,0.0,0.0,1.0
FDF44,7.17,1,0.06,0,130.9968,6,18,2,1,1,2348.9424,0.0,0.0,1.0
FDS24,20.85,1,0.062,0,88.1514,8,25,2,0,1,1682.4766,0.0,0.0,1.0
NCQ50,18.75,0,0.034,0,215.7218,9,23,1,0,1,4274.436,0.0,1.0,0.0
FDT25,7.5,0,0.051,1,123.4072,1,35,0,2,1,3185.1872,1.0,0.0,0.0
FDO03,10.39,1,0.037,0,230.5352,7,20,2,1,1,4580.704,0.0,0.0,1.0
FDJ55,12.8,1,0.024,0,223.5404,8,25,2,0,1,1800.3232,0.0,0.0,1.0
FDM36,11.65,1,0.059,0,170.4422,1,35,0,2,1,517.3266,1.0,0.0,0.0
FDM21,20.2,0,0.065,1,258.0646,2,15,2,1,1,5668.6212,0.0,0.0,1.0
FDK58,11.35,1,0.066,1,103.0016,6,18,2,1,1,2125.2336,0.0,0.0,1.0
FDD26,8.71,1,0.121,1,186.5924,0,24,2,2,0,555.2772,0.0,0.0,1.0
FDW57,8.31,1,0.116,1,177.3028,7,20,2,1,1,1948.1308,0.0,0.0,1.0
FDT32,19.0,1,0.11,0,188.8214,0,24,2,2,0,188.4214,0.0,0.0,1.0
FDT25,7.5,0,0.051,1,121.7072,7,20,2,1,1,367.5216,0.0,0.0,1.0
NCB19,6.53,0,0.09,0,84.6882,8,25,2,0,1,601.2174,0.0,0.0,1.0
FDD05,12.86,0,0.029,1,122.0098,4,37,2,0,0,361.5294,0.0,0.0,1.0
NCE54,12.86,0,0.027,0,77.0354,5,37,1,2,3,2332.2974,0.0,1.0,0.0
FDO39,6.99,1,0.138,0,182.8608,9,23,1,0,1,4042.7376,0.0,1.0,0.0
NCV06,11.3,0,0.067,0,192.2478,7,20,2,1,1,1356.2346,0.0,0.0,1.0
DRB13,6.12,1,0.012,2,189.053,0,24,2,2,0,948.765,0.0,0.0,1.0
FDX51,9.5,1,0.037,0,194.2452,0,24,2,2,0,782.9808,0.0,0.0,1.0
FDC38,15.7,0,0.123,1,134.2942,7,20,2,1,1,1192.4478,0.0,0.0,1.0
FDD04,16.0,0,0.09,0,143.2154,8,25,2,0,1,1701.7848,0.0,0.0,1.0
FDC05,13.1,1,0.099,1,198.7768,3,13,1,2,2,3153.2288,0.0,1.0,0.0
DRJ59,12.86,0,0.066,2,39.0164,5,37,1,2,3,1042.6428,0.0,1.0,0.0
FDL22,16.85,0,0.037,1,90.6488,2,15,2,1,1,633.8416,0.0,0.0,1.0
DRH13,12.86,0,0.042,2,107.628,4,37,2,0,0,213.056,0.0,0.0,1.0
FDV22,14.85,1,0.017,1,157.563,0,24,2,2,0,312.926,0.0,0.0,1.0
FDP07,18.2,0,0.09,0,197.211,7,20,2,1,1,3142.576,0.0,0.0,1.0
FDK27,11.0,0,0.009,0,119.1756,9,23,1,0,1,1696.4584,0.0,1.0,0.0
FDP31,21.1,1,0.162,0,64.9168,2,15,2,1,1,639.168,0.0,0.0,1.0
NCI54,15.2,0,0.056,0,110.7912,0,24,2,2,0,109.1912,0.0,0.0,1.0
DRK35,12.86,0,0.071,2,37.7506,5,37,1,2,3,796.9626,0.0,1.0,0.0
NCO07,9.06,0,0.01,2,213.256,9,23,1,0,1,4687.232,0.0,1.0,0.0
FDN31,11.5,0,0.073,0,191.253,1,35,0,2,1,3036.048,1.0,0.0,0.0
NCO02,11.15,0,0.073,2,66.8142,6,18,2,1,1,2372.9112,0.0,0.0,1.0
FDQ26,13.5,1,0.068,0,57.2562,7,20,2,1,1,770.3306,0.0,0.0,1.0
FDQ07,15.1,1,0.087,0,221.8456,8,25,2,0,1,663.1368,0.0,0.0,1.0
FDB49,8.3,1,0.03,0,98.2384,9,23,1,0,1,2167.8448,0.0,1.0,0.0
FDY44,14.15,1,0.024,0,196.411,9,23,1,0,1,2749.754,0.0,1.0,0.0
NCI54,12.86,0,0.033,0,107.3912,5,37,1,2,3,3057.3536,0.0,1.0,0.0
FDV44,8.37,1,0.04,0,190.1188,8,25,2,0,1,1904.188,0.0,0.0,1.0
FDI48,11.85,1,0.056,0,53.0666,9,23,1,0,1,512.666,0.0,1.0,0.0
NCL05,19.6,0,0.048,2,42.277,6,18,2,1,1,605.878,0.0,0.0,1.0
FDT32,19.0,1,0.066,0,189.6214,9,23,1,0,1,2826.321,0.0,1.0,0.0
FDM10,18.25,0,0.076,1,212.9218,9,23,1,0,1,3846.9924,0.0,1.0,0.0
FDS21,19.85,1,0.021,1,63.5194,9,23,1,0,1,557.2746,0.0,1.0,0.0
FDD11,12.85,0,0.031,0,251.704,7,20,2,1,1,3542.056,0.0,0.0,1.0
FDL04,12.86,0,0.111,1,106.7622,5,37,1,2,3,2964.1416,0.0,1.0,0.0
FDO58,19.6,0,0.04,1,163.7526,3,13,1,2,2,2960.1468,0.0,1.0,0.0
FDQ08,15.7,1,0.019,0,60.5536,2,15,2,1,1,490.0288,0.0,0.0,1.0
FDT28,13.3,0,0.064,1,151.3708,8,25,2,0,1,3611.2992,0.0,0.0,1.0
FDT22,10.39,0,0.113,1,59.022,3,13,1,2,2,1378.206,0.0,1.0,0.0
FDB58,10.5,1,0.013,1,143.7154,6,18,2,1,1,3119.9388,0.0,0.0,1.0
FDN45,19.35,0,0.118,1,224.8088,8,25,2,0,1,2013.3792,0.0,0.0,1.0
FDZ45,14.1,0,0.067,1,198.9084,1,35,0,2,1,4761.8016,1.0,0.0,0.0
FDJ38,8.6,1,0.04,1,188.753,8,25,2,0,1,6501.8699,0.0,0.0,1.0
NCT06,17.1,0,0.039,0,166.4842,7,20,2,1,1,1326.2736,0.0,0.0,1.0
FDU21,12.86,1,0.076,1,32.8558,5,37,1,2,3,713.0718,0.0,1.0,0.0
NCP30,20.5,0,0.033,0,38.9822,9,23,1,0,1,982.055,0.0,1.0,0.0
FDR27,15.1,1,0.096,0,134.4942,9,23,1,0,1,2119.9072,0.0,1.0,0.0
FDW39,6.69,1,0.066,0,176.937,2,15,2,1,1,4234.488,0.0,0.0,1.0
DRZ24,12.86,0,0.066,2,121.044,5,37,1,2,3,2396.88,0.0,1.0,0.0
FDK21,7.91,0,0.01,1,250.7408,1,35,0,2,1,5757.8384,1.0,0.0,0.0
FDJ04,18.0,0,0.124,1,118.5124,8,25,2,0,1,1303.6364,0.0,0.0,1.0
FDZ13,7.84,1,0.154,1,50.835,2,15,2,1,1,599.22,0.0,0.0,1.0
FDS16,15.15,1,0.067,1,144.676,2,15,2,1,1,3954.852,0.0,0.0,1.0
FDD56,15.2,1,0.174,0,175.8054,0,24,2,2,0,1050.6324,0.0,0.0,1.0
FDI57,19.85,0,0.054,0,197.2768,8,25,2,0,1,6501.8699,0.0,0.0,1.0
FDQ12,12.86,0,0.035,0,231.601,5,37,1,2,3,5972.226,0.0,1.0,0.0
FDI56,7.33,0,0.093,0,91.3146,8,25,2,0,1,1641.8628,0.0,0.0,1.0
NCT42,5.88,0,0.025,0,148.4392,7,20,2,1,1,2087.9488,0.0,0.0,1.0
FDM25,10.7,1,0.061,0,174.7712,6,18,2,1,1,3339.6528,0.0,0.0,1.0
DRB25,12.86,0,0.069,2,106.0938,5,37,1,2,3,2787.0388,0.0,1.0,0.0
NCY30,20.25,0,0.026,0,179.5976,8,25,2,0,1,2535.3664,0.0,0.0,1.0
FDD44,8.05,1,0.079,0,257.0646,2,15,2,1,1,6501.8699,0.0,0.0,1.0
FDK45,11.65,0,0.034,0,112.186,6,18,2,1,1,1018.674,0.0,0.0,1.0
FDN45,19.35,0,0.118,1,222.6088,7,20,2,1,1,1789.6704,0.0,0.0,1.0
FDQ09,7.24,0,0.058,1,115.8834,6,18,2,1,1,1382.2008,0.0,0.0,1.0
FDC17,12.15,0,0.015,1,209.9928,6,18,2,1,1,5259.82,0.0,0.0,1.0
FDD45,8.62,0,0.116,0,94.1436,1,35,0,2,1,1512.6976,1.0,0.0,0.0
FDD41,6.76,1,0.087,1,105.0306,8,25,2,0,1,2090.612,0.0,0.0,1.0
FDU46,10.3,1,0.011,1,87.254,8,25,2,0,1,1211.756,0.0,0.0,1.0
